    ,Item Type,Publication Year,Author,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Title,key,Abstract,doi url,Publication Title,ISBN,ISSN,DOI,Url,Date,Date Added,Date Modified,Pages,Begin Page,End Page,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Series,Publisher,Place,Language,Archive,Library Catalog,Extra,Notes,Publication Type 2,File Attachments,Manual Tags,Editor,Meeting Name,Meeting Location,Conference Name
X2ZH3HVJ,bookSection,1972,"Rankin, Robert L.","Rankin, Robert L.",,,,,,A Minor Rule with Historical Implications in Rumanian,A Minor Rule With Historical Implications In Rumanian,This paper discusses a diphthongization hypothesis in Romania and evidence for it. ,,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305376&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,272-276,272,276,4,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,2,<p>Accession Number: 1979305376. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5376.</p>,book article,,phonology; Romanian language,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
63PPTCP7,bookSection,1972,"Saltarelli, Mario","Saltarelli, Mario",,,,,,Italian qua Neo-Latin,Italian Qua Neo-latin,"The purpose of this paper is twofold. I shall discuss (a) the phonology of modern standard Italian in a Neo-Latin perspective, and (b) some theoretical considerations concerning the nature of phonological rules. I shall be dealing fundamentally witha  selected subset of phenomena and the analytical problems which they raise. As these phenomena are to a certain degree common to other Neo-Latin varieties I shall extend the discussion to the larger Romance framework in as much as it may be relevant to the understanding of the particular phenomenon in question and in the measure of my acquantaince with the subject matter.",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305299&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,319-339,319,339,20,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,5,<p>Accession Number: 1979305299. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5299.</p>,book article,,Italian language; Proto-Romance languages,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
8PLLMNAD,bookSection,1972,"Wanner, Dieter","Wanner, Dieter",,,,,,The Derivation of Inflectional Paradigms in Italian,The Derivation Of Inflectional Paradigms In Italian,"The question whether the paradigm is a meaningful linguistic units neither new nor has it ever been answered conclusively. The reluctance to introduce theoretical machinery which, unless appropriately constrained, might be too powerful leads to the rejection of paradigmatic and analogical forces in general as explanatory devices. Yet a number of studies have presented cases where it seems that the only reasonable explanation for the observed phenomena is the recognition of the paradigm as an active force. In the field of Romance linguistics, Malkiel (1968) and Kurylowicz (1968) reached such a conclusion for two related historical problems of Spanish and Italian verbal inflection respectively. At the 1970 LSA Winter Meeting, J. Harris (1970b) presented the difficulties involved in stating the applicability conditions of the Spanish Velar Softening rule in verbal forms. The most natural solution would require to give them as a function of a paradigmatic surface constraint. This paper will investigate the same problem in nominal and verbal inflection in Italian where only a minor portion of stem final consonants undergo palatalization and related rules. Although the derivational description of the forms is complex, the surface results correspond to relatively simple patterns of alternation. Besides proposing a revised classification of Italian verbs based on rule applicability conditions, I will argue for a reconsideration of the paradigmatic dimension interpreted as a special case of functional, as opposed to formal, restrictions on rules.",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305292&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,293-318,293,318,25,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,14,<p>Accession Number: 1979305292. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5292.</p>,book article,,morphology,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
ABUSKF6A,bookSection,1972,"Rivero, Maria-Luisa","Rivero, María-Luisa",,,,,,On Conditionals in Spanish,On Conditionals In Spanish,"This paper studies the structure of conditional sentences in Spanish, and motivates two different assumptions about those types of structures. In the first part of the study we will present evidence which argues in favor of the hypothesis that the particle si 'if' is the matrix verb of the protasis in a conditional configuration and that as a verbal element it belongs to the set which G. Lakoff (1968) has termed 'world-creating' verbs. In the second part of the paper we will argue that the protasis and the apodosis function as coordinated sentences.",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305197&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,196-214,196,214,18,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,17,<p>Accession Number: 1979305197. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5197.</p>,book article,,syntax; Spanish language; semantics,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
H976X7J4,bookSection,1972,"Meyer, Paula L.","Meyer, Paula L.",,,,,,Some Observations on Constituent-Order in Spanish,Some Observations On Constituent-order In Spanish,"The following is an informal discussion of the various orders of the constituents in sentences spoken by a native Spanish speaker. It is an attempt to show that the constraints governing these orders can be accounted for rather interestingly and with some facility by considering such notions as topic and focus. The Spanish data which I will examine here consist of sentences that contain a subject, an object and a verb, with possible and impossible permutations and arrangements of these constituents. I want to suggest that, with basic word order verb-subject-object and with topic and focus marked in deep structure, we can derive all possible surface ordersinvolving these constituents with the following kinds of rules: a focus subject rule which moves the subject to the right only if it is the focus; subject-permutation to the left for topics and constrastive subjects; WH-fronting; dislocation, which copies the topic outside the S; and object-pronoun clitic movement to the front of the verb. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305192&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,184-195,184,195,11,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,18,<p>Accession Number: 1979305192. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5192.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
Z29IY8XW,bookSection,1972,"Lujan, Marta","Luján, Marta",,,,,,On the So-Called Neuter Article in Spanish,On The So-called Neuter Article In Spanish,"Spanish is traditionally said to have three forms of the definite article: el/los, the masculine; la/las, the feminine; and lo, the neuter. The aim of this paper is to argue that Spanish has no neuter article, but that lo is instead a pronoun. There is, in fact, little reason other than tradition to consider lo an article. It differs from the masculine and feminine articles, el and la, in at least three conspicuous ways. First lo has no plural form. Second, it has no indefinite counterpart. Third, and most striking, it never occurs before a lexical noun, for there are no neuter nouns in Spanish. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305189&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,162-175,162,175,13,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,37,<p>Accession Number: 1979305189. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5189.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
GKR3FP6A,bookSection,1972,"Gulstad, Daniel E.","Gulstad, Daniel E.",,,,,,Functions and States in the Deep Structure of Spanish,Functions And States In The Deep Structure Of Spanish,"Some of the points I wish to make have been made in a previous paper (Galstad 1971) , but since the focus here is on Spanish syntax rather than on syntactic theory, I will limit theoretical discussion to that which is relevant to the linguistic data chosen for this analysis. It will be my practice also to explain theoretical matters as they come up, rather than to present a separate introduction to the metatheory in anticipation of its application. Among the characteristics of natural language that have led me to doubt certain tenets of existing theories of analysis there are two which hold particular prominence. First there is the peculiar but to-date unexplained relationship between anaphora and passiveness that shows up in Spanish in the so-called pleonastic pronouns and in the variety of passive forms. Secondly, there is the predicative nature of prepositional phrases and conjunctive clauses, known to traditional grammarians when they referred to the noun as the ""object of a preposition""; both Transformational Grammar and Case Grammar slight the importance of these ""function words"" except as surface manifestations of deep features. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305182&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,139-161,139,161,22,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,0,<p>Accession Number: 1979305182. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5182.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
PPHRHDU8,bookSection,1972,"Goldin, Mark G.","Goldin, Mark G.",,,,,,Indirect Objects in Spanish and English,Indirect Objects In Spanish And English,"What has linguistics to do with teaching foreign languages? The answers which I would like to suggest come from the point of view of the teacher's preparation. It is common to talk about what a teacher does in terms of subject matter and pedagogy. Under subject matter are included such things about the phenomenon of language, his knowledge of the foreign culture, and other things. Since someone who teaches foreign language as a skill never needs to teach linguistics, his knowledge of linguistics as subject matter is useful to him only in the way that calculus as subject matter is useful to a junior high school mathematics teacher. He studies it not because he will ever have to explain it to his students, but in order to gain a global idea of how the search for knowledge proceeds in his chosen field, and of the kind of questions with which the field deals. While there are no doubt many arguments in favor of the language teacher's learning linguistics for this reason, I am not going to advance any of them here. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305180&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,376-383,376,383,7,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,24,<p>Accession Number: 1979305180. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5180.</p>,book article,,English language (Modern),"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
Z6XFB39F,bookSection,1972,"Dinnsen, Daniel A.","Dinnsen, Daniel A.",,,,,,Additional Constraints on Clitic Order in Spanish,Additional Constraints On Clitic Order In Spanish,"In his recent paper, ""Surface Structure Constraint in Syntax,"" David Perlmutter (1970) argues for the necessity of surface structure constraints on clitic pronoun sequences in Spanish. In addition, he claims that surface structure constraints are of two kinds, global and nonglobal, and that Spanish provides evidence for the necessity of such a distinction. This paper denies the necessity of any distinction between global and nonglobal constraints for Spanish. It can be shown that it is possible to formulate precise surface structure constraints all of one kind -- equally general, simple and consistent in notation -- that will correctly characterize the set of data in Spanish noted by Perlmutter. By broadening the scope of data beyond that considered by Perlmutter, the existence of additional constraints becomes evident. These constraints may be collaped without loss of generality and stated as one constraint accounting for a much wider range of phenomena than could the constraints proposed by Perlmutter. Even if it could be shown that a global-nonglobal distinction was necessary, I argue that the one constraint specifically proposed by Perlmutter as a nonglobal constraint could not be nonglobal. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305176&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,176-183,176,183,7,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,38,<p>Accession Number: 1979305176. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5176.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
LKFAGNKU,bookSection,1972,"Foley, James","Foley, James",,,,,,Assibilation in Spanish First Singular Verb Forms: Interrupted Rule Schemata,Assibilation In Spanish First Singular Verb Forms: Interrupted Rule Schemata,"This paper discusses assibilation in Spanish and three key characteristics: assibilation depends on the quality of the vowel and is more likely to occur before i than e and more likely to occur before e than a, it is more likely to occur to velars than to labials, and it is more likely to occur to voiced consonants than to voiceless consonants. ",,Generative Studies in Romance Languages,,,,http://ezproxy.lib.utexas.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=mzh&AN=1979305126&site=ehost-live,1972,10/1/19 20:59,10/1/19 20:59,225-235,225,235,10,,,431 pp.,,,Newbury,"Rowley, MA",,mzh,EBSCOhost,3,<p>Accession Number: 1979305126. Publication Type: Book Article. Language: English. Update Code: 197901. Sequence No: 1979-3-5126.</p>,book article,,,"Casagrande, Jean; Saciuk, Bohdan",LSRL01,University of Florida,Linguistic Symposium on Romance Languages
